OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
130257,Traffic Law Enforcement (P),YES,NO,Black,Black,Male,5.0
22836,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,4.0
52590,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,5.0
127386,Suspicious Person (P),NO,NO,Native American,Native American,Female,4.0
70175,Suspicious Person (P),YES,NO,White,White,Male,5.0
138437,Suspicious Vehicle (P),NO,NO,White,White,Male,5.0
12696,Suspicious Person (P),NO,NO,Asian,Asian,Male,1.0
87707,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
35196,Suspicious Vehicle (P),NO,NO,Latino,Latino,Male,5.0
98069,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
128594,Suspicious Person (P),NO,NO,White,White,Male,5.0
75885,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
98689,Suspicious Person (P),NO,NO,Other,Other,Male,1.0
8233,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
