OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
70692,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
126322,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
47085,Suspicious Person (P),YES,NO,Native American,Native American,Female,3.0
95492,Suspicious Person (P),NO,NO,White,White,Female,5.0
109299,Suspicious Person (P),YES,NO,White,White,Male,1.0
138322,Attempt Pick-Up (P),YES,NO,Black,Black,Male,2.0
34437,Attempt Pick-Up (P),NO,NO,Black,Black,Female,4.0
119921,Suspicious Person (P),NO,NO,White,White,Female,5.0
26077,Suspicious Person (P),YES,NO,White,White,Male,1.0
88372,Suspicious Person (P),NO,NO,Black,Black,Female,1.0
93353,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
76297,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
32079,Suspicious Person (P),NO,NO,Black,Black,Female,4.0
21204,Suspicious Vehicle (P),NO,NO,Latino,Latino,Male,2.0
63803,Suspicious Vehicle (P),YES,YES,Other,Black,Male,4.0
69116,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,2.0
156902,Suspicious Person (P),NO,NO,Native American,Native American,Male,3.0
40568,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
100033,Suspicious Vehicle (P),NO,NO,White,White,Male,3.0
57482,Suspicious Person (P),NO,NO,Black,Black,Female,1.0
148849,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
92840,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,3.0
14758,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
98286,Suspicious Person (P),YES,NO,Black,Black,Male,5.0
139421,Suspicious Person (P),NO,NO,Black,White,Male,4.0
160091,Suspicious Person (P),NO,NO,Native American,Other,Female,1.0
25952,Traffic Law Enforcement (P),YES,YES,Native American,Native American,Female,3.0
20737,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
104881,Attempt Pick-Up (P),NO,NO,Native American,Native American,Female,3.0
95379,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
35571,Suspicious Vehicle (P),NO,NO,Native American,Native American,Female,5.0
128457,Attempt Pick-Up (P),YES,NO,Black,Black,Female,4.0
47458,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
126863,Attempt Pick-Up (P),YES,NO,Black,Black,Male,1.0
135959,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,5.0
6438,Suspicious Person (P),YES,NO,Black,Black,Male,2.0
10562,Suspicious Person (P),NO,NO,White,White,Male,3.0
4453,Suspicious Person (P),NO,NO,Native American,Native American,Female,3.0
